#,Question,Asker Name,Asker Initials,Answer,Question Time,Answered Time,Answerer Name,Answerer Initials
24,Hi all! How to convert Siemens Raw data .dat to ISMRM raw data .MRD ?,Petr Menshchikov,P.M.,https://github.com/ismrmrd/siemens_to_ismrmrd,02/25/2026 10:03:21 AM,02/25/2026 10:10:57 AM,Mikhail Zubkov,M.Z.
24,Hi all! How to convert Siemens Raw data .dat to ISMRM raw data .MRD ?,Petr Menshchikov,P.M.,"if the .dat data has all necessary MDH counters and flags, e.g. the raw data from a Siemens product sequence, you can use siemens_to_ismrmrd software. If the .dat data is from a Pulseq sequence without any MDH counters etc., you would need to manually label the raw data with all necessary information before MRD conversion.",02/25/2026 10:03:21 AM,02/25/2026 10:13:55 AM,Qingping Chen,Q.C.
24,Hi all! How to convert Siemens Raw data .dat to ISMRM raw data .MRD ?,Petr Menshchikov,P.M.,"BTW for GE, we're trying to decide on a simple workable solution (this is in the context of the OpenMOLLI challenge), stay tuned. The approach will likely be to populate most of the header with information from the .seq file, and only extract the raw data (and very minimal site/scanner info) from the raw data file (ScanArchive). Perhaps this should be the model across vendors. Anyone interested is happy to help test, or just stay tuned :)",02/25/2026 10:03:21 AM,02/25/2026 10:22:17 AM,Jon-Fredrik Nielsen,J.N.
25,"What important gaps remain between MATLAB Pulseq and PyPulseq? I would like to switch from MATLAB to Python but not sure what I would be giving up, if anything",Alex Toews,A.T.,"The Pulseq developer team in Freiburg mainly work in Matlab. We release bugfixes, new features, performance improvement, etc., online for the pulseq matlab toolbox. The PyPulseq version may lag behind a bit. But there are many volunteers in the community to update the PyPulseq from time to time. So I think there should not be much to loss.",02/25/2026 10:07:56 AM,02/25/2026 10:22:16 AM,Qingping Chen,Q.C.
26,Does MRzero have 3D numerical phantoms or at the moment only 2D phantoms are impllemented?,Marco Barbieri,M.B.,"Yes it has 3D brain phantom. You can create your owns too:

https://mrsources.github.io/MRzero-Core/nifti-generate.html",02/25/2026 10:09:56 AM,02/25/2026 10:13:51 AM,Yannick Bovier,Y.B.
26,Does MRzero have 3D numerical phantoms or at the moment only 2D phantoms are impllemented?,Marco Barbieri,M.B.,Thanks for pointing this out!,02/25/2026 10:09:56 AM,02/25/2026 10:14:29 AM,Marco Barbieri,M.B.
26,Does MRzero have 3D numerical phantoms or at the moment only 2D phantoms are impllemented?,Marco Barbieri,M.B.,see this code for the example of generating a 3D phantom: https://github.com/mritogether/ESMRMB2024_Hardware_to_Map/blob/main/03_full_acquisition_simulations/notebooks/generate_MR0_phantom.m,02/25/2026 10:09:56 AM,02/25/2026 10:16:36 AM,Qingping Chen,Q.C.
27,Why are image lines outside of ACS set to IMA = false? Is there some rule of thumb here?,Filip Szczepankiewicz,F.S.,"IMA basically markes the lines that belong to the ACS region, but would otherwise have also been acquired, if there was no ACS region and only accelerated data were acquired.",02/25/2026 10:19:57 AM,02/25/2026 10:22:21 AM,Maxim Zaitsev,M.Z.
28,"is it possible to use an “external” ACS scan? e.g. a rapid flash acquisition prior to the mprage, and still be able use ICE?",berkin bilgic,B.B.,"yes, we did external ACS for EPI GRAPPA+Partial Fourier. But the current interpreter doesn’t have this feature yet.",02/25/2026 10:21:36 AM,02/25/2026 10:24:13 AM,Qingping Chen,Q.C.
29,I guess the even/odd requirment for IMA changes depending on the value of R?,Marco Barbieri,M.B.,"yes, this was GRAPPA2-case, otherwise IMA labels the lines within the ACS region that would othervise have belonged to the pure accelerated scan without the ACS lines. In other words, the lines, which are only labeled with REF are pure reference lines, whereas the ones which have both REF and 'IMA on simultaneously  belong both to the original accelerated acquisition pattern and the reference data region",02/25/2026 10:21:37 AM,02/25/2026 10:25:45 AM,Maxim Zaitsev,M.Z.
30,"if we do GRAPPA with separate reference manner, we do 
mr.makeLabel(‘SET’, ’REF’,true)
mr.makeLabel(‘SET’, ’IMA’,false)
?",Shota Hodono,S.H.,you mean “external ACS”? we would need to update the interpreter a bit for this feature. the current interpreter doesn’t cover all GRAPPA versions yet.,02/25/2026 10:21:50 AM,02/25/2026 10:28:31 AM,Qingping Chen,Q.C.
30,"if we do GRAPPA with separate reference manner, we do 
mr.makeLabel(‘SET’, ’REF’,true)
mr.makeLabel(‘SET’, ’IMA’,false)
?",Shota Hodono,S.H.,"thanks for your comment
i think yes, the external ACS is acquired before the main sequence blocks. 
good to know that.
it would be very helpful if we can see what is/isnt available now for GRAPPA.",02/25/2026 10:21:50 AM,02/25/2026 10:33:18 AM,Shota Hodono,S.H.
31,Is it possible to set the sequence to use a costumer Ice program online?,Anonymous Attendee,A.A.,"yes, it is possible. But you would need to manually change several related lines within the siemens interpreter.",02/25/2026 10:23:50 AM,02/25/2026 10:25:12 AM,Qingping Chen,Q.C.
32,Is gadgetron online recon only available for 2D? Is 3D possible?,Alex Toews,A.T.,"If you install the icegadgetron properly on a Siemens scanner, you should be able to use any reconstruction algorithms provided by iceGadgetron. Please check the instructions provided by the NIH Gadgetron group.",02/25/2026 10:24:57 AM,02/25/2026 10:27:07 AM,Qingping Chen,Q.C.
33,Can you expand on the difference in the setup for integrated vs separate ref scans. Thx,Filip Szczepankiewicz,F.S.,"currently we provde more or less no support for separate reference data acquisition because the integration with the integrated recon is way more compleq. @Qingping Chen had some success implementing EPI with GRAPPA, but it was really sensitive to small changes in the protocol, so we didn't release it up to now",02/25/2026 10:25:06 AM,02/25/2026 10:28:51 AM,Maxim Zaitsev,M.Z.
33,Can you expand on the difference in the setup for integrated vs separate ref scans. Thx,Filip Szczepankiewicz,F.S.,Is this the example available called writeGradientEcho_grappa.m? If there is a more developed example I would love to see it :),02/25/2026 10:25:06 AM,02/25/2026 10:33:19 AM,Filip Szczepankiewicz,F.S.
33,Can you expand on the difference in the setup for integrated vs separate ref scans. Thx,Filip Szczepankiewicz,F.S.,"writeGradientEcho_grappa.m is capable for online ICE recon for 2D GRAPPA. we have a colleague work on diffusion MRI using EPI GRAPPA with separate ref scans, she is about to submit her paper so the sequence should  come out soon…",02/25/2026 10:25:06 AM,02/25/2026 10:36:49 AM,Qingping Chen,Q.C.
34,To be clear the automatic reconstruction (with the .seq and mrd files) is possible or no for compressed sensing? Would that recon have to be manual/offline?,Faiyza Alam,F.A.,We didn’t try CS recon before. So we are not sure if Gadgetron is capable for CS + non-Cartesian with Pulseq. Please check online for this information. But I am pretty sure Gadgetron has the CS algorithms.,02/25/2026 10:25:12 AM,02/25/2026 10:33:53 AM,Qingping Chen,Q.C.
35,Have you also implemented adaptive combine mode?,Manoj  Shrestha,M.S.,"In the offline recon you are free to use any open source adaptive combine imlementation. In the Matlab toolbox we don't provide any example for that though. On the scanner stored sensitivities are used for the optimal combination, so your sequence has to provide acurate FOV/slice package information. If the geometric ordering of the reconstructed images on the scanner is correct, adaptve combine typically works properly. If however the scanner doesn't know the geometry of your acquied data, then you often see artifacts (black lines within homogeneous signal regions) or suboptimal SNR",02/25/2026 10:29:10 AM,02/25/2026 10:34:10 AM,Maxim Zaitsev,M.Z.
36,does mapVBVD work for XA60A data?,oleg p. poznansky,O.P.,"yes, at least the Matlab version works very well",02/25/2026 10:35:14 AM,02/25/2026 10:35:46 AM,Maxim Zaitsev,M.Z.
37,Has anyone tried with reduced FOV offline reconstruction?,Enamul Bhuiyan,E.B.,what is reduce FOV?,02/25/2026 10:37:18 AM,02/25/2026 10:39:57 AM,Qingping Chen,Q.C.
38,Thank you!! can we set the repetition counter for fMRI?,Alejandro Monreal Madrigal,A.M.,"yes, of course. check this EPI example: https://github.com/pulseq/Pulseq-Rocks-2023-24-ISMRM-Reproducibility-Challenge/blob/main/data_acquisition_tutorial/writeEpiRS_label.m",02/25/2026 10:37:25 AM,02/25/2026 10:38:37 AM,Qingping Chen,Q.C.
39,Do the labels work similarly for pypulseq?,Anonymous Attendee,A.A.,Yes. The same labels are available and used in PyPulseq,02/25/2026 10:38:09 AM,02/25/2026 10:38:48 AM,Patrick Schuenke,P.S.
39,Do the labels work similarly for pypulseq?,Anonymous Attendee,A.A.,Thanks you! Are we able to extract information like the time of each acquisition/readout based on these labels?,02/25/2026 10:38:09 AM,02/25/2026 10:45:31 AM,Tassia Ribeiro Salles Moura,T.R.
39,Do the labels work similarly for pypulseq?,Anonymous Attendee,A.A.,"The acquisition time should be included independent of the use of labels. Not setting labels in (Py)Pulseq simply means that with each readout, the LIN label is increased by 1 and all other labels (like ECO for echo, SLC for slice) are set to 0.",02/25/2026 10:38:09 AM,02/25/2026 10:53:41 AM,Patrick Schuenke,P.S.
39,Do the labels work similarly for pypulseq?,Anonymous Attendee,A.A.,Is there any examples available on how to extract acquisiton time from .dat files?,02/25/2026 10:38:09 AM,02/25/2026 11:00:51 AM,Tassia Ribeiro Salles Moura,T.R.
40,"Without these extensions, when .seq is run on scanner, is  the image still recon'd?",Maolin Qiu,M.Q.,"nope, you have to obtain the raw data for offline recon.",02/25/2026 10:38:17 AM,02/25/2026 10:39:20 AM,Qingping Chen,Q.C.
41,"I'm currently working on a sequence that utilizes two different ADC compoments, each with different lengths of RO points. Is there any flag I should set in Pulseq? Thanks!",Cheng-Chieh Cheng,C.C.,didn’t try this before. Why you want to differentiate the two sets of ADCs?,02/25/2026 10:39:20 AM,02/25/2026 10:50:36 AM,Qingping Chen,Q.C.
41,"I'm currently working on a sequence that utilizes two different ADC compoments, each with different lengths of RO points. Is there any flag I should set in Pulseq? Thanks!",Cheng-Chieh Cheng,C.C.,"Yes, I did. However I found that when I use mapVBVD to extract the data, there's a problem as the code takes the RO length of the 1st ADC group to read the k-space from the memory, resulting incorrect dimension. ",02/25/2026 10:39:20 AM,02/25/2026 10:54:05 AM,Cheng-Chieh Cheng,C.C.
41,"I'm currently working on a sequence that utilizes two different ADC compoments, each with different lengths of RO points. Is there any flag I should set in Pulseq? Thanks!",Cheng-Chieh Cheng,C.C.,"And the later received k-space data are seemingly corrupted with very strong spikes. If I employed the same RO structure in separate sequences, the data seem ok though. ",02/25/2026 10:39:20 AM,02/25/2026 10:58:33 AM,Cheng-Chieh Cheng,C.C.
41,"I'm currently working on a sequence that utilizes two different ADC compoments, each with different lengths of RO points. Is there any flag I should set in Pulseq? Thanks!",Cheng-Chieh Cheng,C.C.,i think there is a mapvbvd extension that can read two separate ADC lengths for e.g. sequences with navigators. you can reach out to Yohan: yjun@mgh.harvard.edu,02/25/2026 10:39:20 AM,02/25/2026 11:02:09 AM,berkin bilgic,B.B.
41,"I'm currently working on a sequence that utilizes two different ADC compoments, each with different lengths of RO points. Is there any flag I should set in Pulseq? Thanks!",Cheng-Chieh Cheng,C.C.,"Thank you, Bilgic, I'll explore that route. ",02/25/2026 10:39:20 AM,02/25/2026 11:06:17 AM,Cheng-Chieh Cheng,C.C.
41,"I'm currently working on a sequence that utilizes two different ADC compoments, each with different lengths of RO points. Is there any flag I should set in Pulseq? Thanks!",Cheng-Chieh Cheng,C.C.,the mapVBVD doesn’t support the extraction of different ADC lengths. You need to modify the source code of mapVBVD for this. check this related discussion for more information: https://github.com/pulseq/pulseq/discussions/147,02/25/2026 10:39:20 AM,02/25/2026 11:07:40 AM,Qingping Chen,Q.C.
41,"I'm currently working on a sequence that utilizes two different ADC compoments, each with different lengths of RO points. Is there any flag I should set in Pulseq? Thanks!",Cheng-Chieh Cheng,C.C.,"Thank you, Chen!",02/25/2026 10:39:20 AM,02/25/2026 11:10:21 AM,Cheng-Chieh Cheng,C.C.
42,"will check it out, thak you!",Alejandro Monreal Madrigal,A.M.,,02/25/2026 10:40:07 AM,,,--
43,smaller field-of-view in (usually) the phase-encode direction,Enamul Bhuiyan,E.B.,I have done online recon with rectangular FOV and it worked fine with me. Didn't have to set specific definitions for that,02/25/2026 10:40:57 AM,02/25/2026 10:42:45 AM,Marco Barbieri,M.B.
43,smaller field-of-view in (usually) the phase-encode direction,Enamul Bhuiyan,E.B.,Thank you,02/25/2026 10:40:57 AM,02/25/2026 10:46:47 AM,Enamul Bhuiyan,E.B.
43,smaller field-of-view in (usually) the phase-encode direction,Enamul Bhuiyan,E.B.,I also don't see a particular challenge there either,02/25/2026 10:40:57 AM,02/25/2026 10:54:45 AM,Maxim Zaitsev,M.Z.
43,smaller field-of-view in (usually) the phase-encode direction,Enamul Bhuiyan,E.B.,Thank you.,02/25/2026 10:40:57 AM,02/25/2026 11:04:23 AM,Enamul Bhuiyan,E.B.
44,Is it possible to reconstruct non-cartesian trajectories with ICE?,Andrew Clark,A.C.,didn’t try this yet.,02/25/2026 10:41:22 AM,02/25/2026 10:46:25 AM,Qingping Chen,Q.C.
44,Is it possible to reconstruct non-cartesian trajectories with ICE?,Andrew Clark,A.C.,"ICE is the Siemens Image Recon Environment on the Siemens Scanners. As far as I know, Siemens doesn't have a default ICE program for any non-Cartisian trajectory (which by itself is a pretty broad term), I might be wrong, but you can build one for your specific traj based on ICE.",02/25/2026 10:41:22 AM,02/25/2026 10:56:27 AM,Maolin Qiu,M.Q.
44,Is it possible to reconstruct non-cartesian trajectories with ICE?,Andrew Clark,A.C.,"i think MRF is a product on Siemens so there needs to be an associated ICE program, though not sure how generalizable.",02/25/2026 10:41:22 AM,02/25/2026 10:59:57 AM,berkin bilgic,B.B.
45,"This looks very cool! Where can we download seqeyes, I cannot find the repo on github",Filip Szczepankiewicz,F.S.,https://github.com/xingwangyong/seqeyes,02/25/2026 10:52:31 AM,02/25/2026 11:00:02 AM,Patrick Schuenke,P.S.
46,"Sorry—unrelated question: will MrZero handle the line indexing and reconstruct the image in the correct order, or do I need to sort it myself?",Zimu Huo,Z.H.,"the simulated signal produced by MRzero follows the order of the ADC in the sequence. So if your ADCs are not in order, e.g., an centric ordering of kspace, you would need to somewhat resort the simulated signal by yourserlf.",02/25/2026 10:53:13 AM,02/25/2026 10:56:44 AM,Qingping Chen,Q.C.
46,"Sorry—unrelated question: will MrZero handle the line indexing and reconstruct the image in the correct order, or do I need to sort it myself?",Zimu Huo,Z.H.,got it. thanks,02/25/2026 10:53:13 AM,02/25/2026 10:58:18 AM,Zimu Huo,Z.H.
47,Great viewer! Thank you. I would love to be able to overlay two different .seq files to check for differences. Is that something you may implement in the future?,Helge Herthum,H.H.,"Currently there is no plan. What i do now is  use the --layout option, e.g. --layout 211, --layout 212, we can have two aligned windows, and set the same time range to check the difference",02/25/2026 10:54:00 AM,02/25/2026 11:01:14 AM,Xingwang Yong,X.Y.
48,https://github.com/xingwangyong/seqeyes,Anonymous Attendee,A.A.,Thank you for the link,02/25/2026 10:55:30 AM,02/25/2026 11:18:41 AM,Yogesh Rathi,Y.R.
49,"very cool, seqeyes!",Anonymous Attendee,A.A.,,02/25/2026 10:56:11 AM,,,--
50,"Sorry, Mr. Grissom. This slide from your presentation, specifically, is not on the virtual meeting's github. Could you add, please? I would like to review it later",Maria Vitória  Lima da Silva,M.S.,Yes i have sent the slides to the organizers for upload!,02/25/2026 11:00:39 AM,02/25/2026 11:17:21 AM,William Grissom,W.G.
51,"Are you working with Thomas Roos, or is this an entirely separate interpreter? Will the two be merged in the future, or will both coexist?",Tom Griesler,T.G.,live answered,02/25/2026 11:01:41 AM,02/25/2026 11:10:16 AM,Jon-Fredrik Nielsen,J.N.
52,wondering if the Philips pulseq interpreter now available to sites?,Anonymous Attendee,A.A.,live answered,02/25/2026 11:03:04 AM,02/25/2026 11:16:29 AM,William Grissom,W.G.
53,"Philips pulseq is now available to select Research users. You would have to reach out to your Philips MR contact, clinical scientist.",Anonymous Attendee,A.A.,Thank you.,02/25/2026 11:05:04 AM,02/25/2026 11:18:30 AM,Yogesh Rathi,Y.R.
54,Are there any plans for a python version of seq2ppe.m?,Adam Suban-Loewen,A.S.,"No explicit plans, but it is not a long script and would be easily converted!",02/25/2026 11:06:29 AM,02/25/2026 11:14:25 AM,William Grissom,W.G.
54,Are there any plans for a python version of seq2ppe.m?,Adam Suban-Loewen,A.S.,ok thanks! :),02/25/2026 11:06:29 AM,02/25/2026 11:15:19 AM,Adam Suban-Loewen,A.S.
55,"Was the SNR and PNS check done by the existing Philips code, or part of your interpreter code?",David Atkinson,D.A.,"Great question, I would have to defer to Saikat to clarify this.",02/25/2026 11:10:13 AM,02/25/2026 11:17:02 AM,William Grissom,W.G.
56,Great talk! I heard that the Philips interpreter was previously undergoing safety review. Has that issue been resolved?,Anonymous Attendee,A.A.,"I am not aware of a safety review for our interpreter, that may be a question for Tom Roos?",02/25/2026 11:15:54 AM,02/25/2026 11:17:55 AM,William Grissom,W.G.
57,does the SPEN point spread function need to be estimated / calibrated or the theoretical one works adequately?,berkin bilgic,B.B.,live answered,02/25/2026 11:22:56 AM,02/25/2026 11:30:55 AM,Yogesh Rathi,Y.R.
58,is the makeChirpedRfPulse an official pulseq function?,xiao ji,X.J.,live answered,02/25/2026 11:26:36 AM,02/25/2026 11:30:54 AM,Yogesh Rathi,Y.R.
59,would we need FDA/CE clearance per vendor?,berkin bilgic,B.B.,live answered,02/25/2026 11:48:34 AM,02/25/2026 11:55:55 AM,Yogesh Rathi,Y.R.
60,One of the slides suggested there is a MR Solutions interpreter/work  -- where would I find that work?,Courtney Bauer,C.B.,Thanks!,02/25/2026 11:55:40 AM,02/25/2026 11:59:23 AM,Courtney Bauer,C.B.
60,One of the slides suggested there is a MR Solutions interpreter/work  -- where would I find that work?,Courtney Bauer,C.B.,live answered,02/25/2026 11:55:40 AM,02/25/2026 12:01:38 PM,Jon-Fredrik Nielsen,J.N.
61,Will the vendors not oppose FDA/CE clearance of Pulseq as potential competition?,Ralf Mekle,R.M.,live answered,02/25/2026 11:56:32 AM,02/25/2026 12:10:21 PM,Jon-Fredrik Nielsen,J.N.
